6月の歌 You Need To Calm Down アンダーライン 日本語→英語
厳しい言葉で責める	taking shots
路上	in the street
責任逃れ	cop out
 are you ok?	hey
侵害する	Mess with
自己表現	self expression
落ち着いたらどうかな	You need to calm down
大騒ぎしすぎよ	You're being too loud
この辺でやめたら？	You need to just stop
私の友達を攻撃する	coming at my friend
LGBT支援団体	GLAAD
太陽の光	Sunshine
暗黒時代	the dark ages
横断巻き	sign
一晩中	all night
平和を取り戻す	restore the place
行動を抑える	control your urges
怒鳴る	scream
嫌いな相手	people you hate
不快な顔をする	shade
比べられている	comparing
最高に輝いている	killing it
どういう意図なのかわかった	we figured you out
王冠	crowns
