6月の歌 Taylor Swift アンダーライン
taking shots	厳しい言葉で責める
in the street	路上
cop out	責任逃れ
hey	 are you ok?	ねえ、ちょっと大丈夫？
Mess with	侵害する
self expression	自己表現
You need to calm down	落ち着いたらどうかな
You're being too loud	大騒ぎしすぎよ
You need to just stop	この辺でやめたら？
coming at my friend	私の友達を攻撃する
GLAAD	LGBT支援団体
Sunshine	太陽の光
the dark ages	暗黒時代
sign	横断巻き
all night	一晩中
restore the place	平和を取り戻す
control your urges	行動を抑える
scream	怒鳴る
people you hate	嫌いな相手
shade	不快な顔をする
comparing	比べられている
killing it	最高に輝いている
we figured you out	どういう意図なのかわかった
crowns	王冠
