7月の歌 Summer of '69 アンダーライン 英語→日本語
six-string	6弦ギター
five and dime	安物雑貨店
bled	血が出る
some guys from school	学校の奴ら
tried real hard	一生懸命頑張った
quit	辞めた
married	結婚した
should’ve known	気付くべきだった
look back	振り返ると
last forever	永遠に続く
choice	選択
best days of my life	人生最高の日々
complaining	文句を言う
a job to do	やるべき仕事
porch	縁側
wait forever	永遠に待つ
held my hand	手を握った
now or never	今しかない
killing time	暇つぶし
restless	落ち着きがない
unwind	ストレス発散
nothing can last forever	永遠に続くものは何もない
times are changing	時代が変わる
come and gone	移り変わる
Sometimes	時々
what went wrong	何がいけなかったのだろうか
