7月の歌 Summer of '69 アンダーライン 日本語→英語
6弦ギター	six-string
安物雑貨店	five and dime
血が出る	bled
学校の奴ら	some guys from school
一生懸命頑張った	tried real hard
辞めた	quit
結婚した	married
気付くべきだった	should’ve known
振り返ると	look back
永遠に続く	last forever
選択	choice
人生最高の日々	best days of my life
文句を言う	complaining
やるべき仕事	a job to do
縁側	porch
永遠に待つ	wait forever
手を握った	held my hand
今しかない	now or never
暇つぶし	killing time
落ち着きがない	restless
ストレス発散	unwind
永遠に続くものは何もない	nothing can last forever
時代が変わる	times are changing
移り変わる	come and gone
時々	Sometimes
何がいけなかったのだろうか	what went wrong
