4月から7月の歌 英語→日本語
gold	貴重な宝物
dream	夢
can’t be sold	売り渡せない
watched it burn	目の前で焼け落ちてしまった
didn’t wanna leave	離れたくなかった
lie	嘘
remembered	思い出した
Talk to myself	自分に語りかけて
don’t understand	理解できない
hold my own hand	自分で自分の手を握る
better than you	あなたよりも
love me	愛せる
Paint	塗ろう
left	残していった
Match	ぴったり合う
No remorse	悔いはない
no regret	未練もない
forgive	許す
fight	ケンカ
astronaut	宇宙飛行士
floating	浮く
mid-air	空中
down there	下界
centre	中心
universe	世界
only human	ただの人間
to earth	地上まで
bird’s eye view	鳥瞰図
round the world	世界中
castle	お城
rub shoulders	付き合い
stars	著名人
drifting	漂っている
dark	暗闇
searched	探してみた
nothing but	あるだけ/しかない
wanna go home	家に帰りたい
satellites	人工衛星
navigation	経路誘導
other life	他の生命体
left behind	置いて残して
real world	現実の世界
gravity	地球の引力
taking shots	厳しい言葉で責める
in the street	路上
cop out	責任逃れ
hey	 are you ok?	ねえ、ちょっと大丈夫？
Mess with	侵害する
self expression	自己表現
You need to calm down	落ち着いたらどうかな
You're being too loud	大騒ぎしすぎよ
You need to just stop	この辺でやめたら？
coming at my friend	私の友達を攻撃する
GLAAD	LGBT支援団体
Sunshine	太陽の光
the dark ages	暗黒時代
sign	横断巻き
all night	一晩中
restore the place	平和を取り戻す
control your urges	行動を抑える
scream	怒鳴る
people you hate	嫌いな相手
shade	不快な顔をする
comparing	比べられている
killing it	最高に輝いている
we figured you out	どういう意図なのかわかった
crowns	王冠
six-string	6弦ギター
five and dime	安物雑貨店
bled	血が出る
some guys from school	学校の奴ら
tried real hard	一生懸命頑張った
quit	辞めた
married	結婚した
should’ve known	気付くべきだった
look back	振り返ると
last forever	永遠に続く
choice	選択
best days of my life	人生最高の日々
complaining	文句を言う
a job to do	やるべき仕事
porch	縁側
wait forever	永遠に待つ
held my hand	手を握った
now or never	今しかない
killing time	暇つぶし
restless	落ち着きがない
unwind	ストレス発散
nothing can last forever	永遠に続くものは何もない
times are changing	時代が変わる
come and gone	移り変わる
Sometimes	時々
what went wrong	何がいけなかったのだろうか
