4月から7月の歌 日本語→英語
貴重な宝物	gold
夢	dream
売り渡せない	can’t be sold
目の前で焼け落ちてしまった	watched it burn
離れたくなかった	didn’t wanna leave
嘘	lie
思い出した	remembered
自分に語りかけて	Talk to myself
理解できない	don’t understand
自分で自分の手を握る	hold my own hand
あなたよりも	better than you
愛せる	love me
塗ろう	Paint
残していった	left
ぴったり合う	Match
悔いはない	No remorse
未練もない	no regret
許す	forgive
ケンカ	fight
宇宙飛行士	astronaut
浮く	floating
空中	mid-air
下界	down there
中心	centre
世界	universe
ただの人間	only human
地上まで	to earth
鳥瞰図	bird’s eye view
世界中	round the world
お城	castle
付き合い	rub shoulders
著名人	stars
漂っている	drifting
暗闇	dark
探してみた	searched
あるだけ/しかない	nothing but
家に帰りたい	wanna go home
人工衛星	satellites
経路誘導	navigation
他の生命体	other life
置いて残して	left behind
現実の世界	real world
地球の引力	gravity
厳しい言葉で責める	taking shots
路上	in the street
責任逃れ	cop out
 are you ok?	hey
侵害する	Mess with
自己表現	self expression
落ち着いたらどうかな	You need to calm down
大騒ぎしすぎよ	You're being too loud
この辺でやめたら？	You need to just stop
私の友達を攻撃する	coming at my friend
LGBT支援団体	GLAAD
太陽の光	Sunshine
暗黒時代	the dark ages
横断巻き	sign
一晩中	all night
平和を取り戻す	restore the place
行動を抑える	control your urges
怒鳴る	scream
嫌いな相手	people you hate
不快な顔をする	shade
比べられている	comparing
最高に輝いている	killing it
どういう意図なのかわかった	we figured you out
王冠	crowns
6弦ギター	six-string
安物雑貨店	five and dime
血が出る	bled
学校の奴ら	some guys from school
一生懸命頑張った	tried real hard
辞めた	quit
結婚した	married
気付くべきだった	should’ve known
振り返ると	look back
永遠に続く	last forever
選択	choice
人生最高の日々	best days of my life
文句を言う	complaining
やるべき仕事	a job to do
縁側	porch
永遠に待つ	wait forever
手を握った	held my hand
今しかない	now or never
暇つぶし	killing time
落ち着きがない	restless
ストレス発散	unwind
永遠に続くものは何もない	nothing can last forever
時代が変わる	times are changing
移り変わる	come and gone
時々	Sometimes
何がいけなかったのだろうか	what went wrong
